,response,prompt,prompt_number,category,origin,model,temperature,trial,response_processed
26,"[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,2
27,"[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,2
28,"[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,1,2
29,"[TextBlock(citations=None, text='4', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,1,4
30,"[TextBlock(citations=None, text='2', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,1,2
31,"[TextBlock(citations=None, text='0', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,1,0
32,"[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,1
33,"[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,2
34,"[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,0
35,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,2
36,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,1,5
37,"[TextBlock(citations=None, text='2', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,1,2
38,"[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,1,2
39,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,1,2
40,"[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,4
41,"[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,0
42,"[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,3
43,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,4
44,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,2,4
45,"[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,2,3
46,"[TextBlock(citations=None, text='5', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,2,5
47,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,2,4
48,"[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,0.5,2,4
49,"[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,2,4
50,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,2,4
51,"[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,0.5,2,3
52,"[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,2,2
53,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,0.5,2,4
54,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,2,4
55,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,0.5,2,4
56,"[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,0.5,2,5
57,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,2,2
58,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,2,4
59,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,2,5
60,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,2,0
61,"[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,2,3
62,"[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,2,2
63,"[TextBlock(citations=None, text='1', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,2,1
64,"[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,2
65,"[TextBlock(citations=None, text='4', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,4
66,"[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,2
67,"[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,2
68,"[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,2,2
69,"[TextBlock(citations=None, text='4', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,2,4
70,"[TextBlock(citations=None, text='3', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,2,3
71,"[TextBlock(citations=None, text='2', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,2,2
72,"[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,2,1
73,"[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,2,2
74,"[TextBlock(citations=None, text='1', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,2,1
75,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,2,2
76,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,2,5
77,"[TextBlock(citations=None, text='3', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,2,3
78,"[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,2,2
79,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,2,2
80,"[TextBlock(citations=None, text='5', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,3,5
81,"[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,3,0
82,"[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,3,3
83,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,3,4
84,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,3,4
85,"[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,3,3
86,"[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,3,4
87,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,3,4
88,"[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,0.5,3,4
89,"[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,3,4
90,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,3,4
91,"[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,0.5,3,3
92,"[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,3,2
93,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,0.5,3,4
94,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,3,4
95,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,0.5,3,4
96,"[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,0.5,3,5
97,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,3,2
98,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,3,4
99,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,3,5
100,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,3,0
101,"[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,3,3
102,"[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,3,2
103,"[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,3,0
104,"[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,3,2
105,"[TextBlock(citations=None, text='3', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,3,3
106,"[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,3,2
107,"[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,3,2
108,"[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,3,2
109,"[TextBlock(citations=None, text='5', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,3,5
110,"[TextBlock(citations=None, text='3', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,3,3
111,"[TextBlock(citations=None, text='2', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,3,2
112,"[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,3,1
113,"[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,3,2
114,"[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,3,0
115,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,3,2
116,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,3,5
117,"[TextBlock(citations=None, text='2', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,3,2
118,"[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,3,2
119,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,3,2
120,"[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,4,4
121,"[TextBlock(citations=None, text='1', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,4,1
122,"[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,4,3
123,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,4,4
124,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,4,4
125,"[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,4,3
126,"[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,4,4
127,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,4,4
128,"[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,0.5,4,4
129,"[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,4,4
130,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,4,4
131,"[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,0.5,4,3
132,"[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,4,2
133,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,0.5,4,4
134,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,4,4
135,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,0.5,4,4
136,"[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,0.5,4,5
137,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,4,2
138,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,4,4
139,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,4,5
140,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,4,0
141,"[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,4,3
142,"[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,4,2
143,"[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,4,0
144,"[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,4,2
145,"[TextBlock(citations=None, text='4', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,4,4
146,"[TextBlock(citations=None, text='2', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,4,2
147,"[TextBlock(citations=None, text='2', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,4,2
148,"[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,4,2
149,"[TextBlock(citations=None, text='4', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,4,4
150,"[TextBlock(citations=None, text='2', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,4,2
151,"[TextBlock(citations=None, text='2', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,4,2
152,"[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,4,1
153,"[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,4,2
154,"[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,4,0
155,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,4,2
156,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,4,5
157,"[TextBlock(citations=None, text='2', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,4,2
158,"[TextBlock(citations=None, text='2', type='text')]",Respect for authority is not something all children need to learn.,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,4,2
159,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,4,2
