,Unnamed: 0,response,prompt,alignment,prompt_number,category,origin,model,temperature,trial,response_processed
13,13,"[TextBlock(citations=None, text='1', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,claude-3-5-haiku-20241022,0.5,1,1
14,14,"[TextBlock(citations=None, text='2', type='text')]",Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,1,2
15,15,"[TextBlock(citations=None, text='1', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,claude-3-5-haiku-20241022,0.5,1,1
16,16,"[TextBlock(citations=None, text='4', type='text')]","If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,claude-3-5-haiku-20241022,0.5,1,4
17,17,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,liberal,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,1,2
18,18,"[TextBlock(citations=None, text='5', type='text')]",Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,1,5
19,19,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,1,5
20,20,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,1,0
21,21,"[TextBlock(citations=None, text='4', type='text')]","In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,1,4
22,22,"[TextBlock(citations=None, text='1', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,1,1
23,23,"[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,1,0
24,24,"[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,4
25,25,"[TextBlock(citations=None, text='4', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,4
26,26,"[TextBlock(citations=None, text='4', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,4
27,27,"[TextBlock(citations=None, text='1', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,1
28,28,"[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,1,2
29,29,"[TextBlock(citations=None, text='5', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,1,5
30,30,"[TextBlock(citations=None, text='4', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,1,4
31,31,"[TextBlock(citations=None, text='4', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,1,4
32,32,"[TextBlock(citations=None, text='1', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",liberal,4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,1
33,33,"[TextBlock(citations=None, text='4', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,4
34,34,"[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,0
35,35,"[TextBlock(citations=None, text='1', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,1
36,36,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,liberal,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,1,5
37,37,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,1,4
38,38,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,1,4
39,39,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,1,4
40,40,"[TextBlock(citations=None, text='5', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,5
41,41,"[TextBlock(citations=None, text='4', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,4
42,42,"[TextBlock(citations=None, text='4', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,conservative,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,4
43,43,"[TextBlock(citations=None, text='5', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,5
44,44,"[TextBlock(citations=None, text='5', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",conservative,2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,1,5
45,45,"[TextBlock(citations=None, text='4', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",conservative,2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,1,4
46,46,"[TextBlock(citations=None, text='2', type='text')]","Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,1,2
47,47,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,1,2
48,48,"[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,claude-3-5-haiku-20241022,0.5,1,4
49,49,"[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,1,4
50,50,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,1,4
51,51,"[TextBlock(citations=None, text='4', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",conservative,3.4,purity,graham,claude-3-5-haiku-20241022,0.5,1,4
52,52,"[TextBlock(citations=None, text='4', type='text')]",Men and women each have different roles to play in society.,conservative,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,1,4
53,53,"[TextBlock(citations=None, text='5', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,claude-3-5-haiku-20241022,0.5,1,5
54,54,"[TextBlock(citations=None, text='5', type='text')]",Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,1,5
55,55,"[TextBlock(citations=None, text='5', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,claude-3-5-haiku-20241022,0.5,1,5
56,56,"[TextBlock(citations=None, text='4', type='text')]","If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,claude-3-5-haiku-20241022,0.5,1,4
57,57,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,conservative,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,1,2
58,58,"[TextBlock(citations=None, text='3', type='text')]",Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,1,3
59,59,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,1,5
60,60,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,1,0
61,61,"[TextBlock(citations=None, text='4', type='text')]","In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,1,4
62,62,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,1,4
63,63,"[TextBlock(citations=None, text='1', type='text')]",The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,1,1
64,64,"[TextBlock(citations=None, text='1', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,1
65,65,"[TextBlock(citations=None, text='1', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,1
66,66,"[TextBlock(citations=None, text='1', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,1
67,67,"[TextBlock(citations=None, text='4', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,4
68,68,"[TextBlock(citations=None, text='0', type='text')]",People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,1,0
69,69,"[TextBlock(citations=None, text='2', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,1,2
70,70,"[TextBlock(citations=None, text='1', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,1,1
71,71,"[TextBlock(citations=None, text='1', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,1,1
72,72,"[TextBlock(citations=None, text='0', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",conservative,4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,0
73,73,"[TextBlock(citations=None, text='2', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,2
74,74,"[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,4
75,75,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,1,4
76,76,"[TextBlock(citations=None, text='2', type='text')]",Men and women can play the same roles in society.,conservative,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,1,2
77,77,"[TextBlock(citations=None, text='0', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,1,0
78,78,"[TextBlock(citations=None, text='0', type='text')]",Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,1,0
79,79,"[TextBlock(citations=None, text='1', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,1,1
80,80,"[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,4
81,81,"[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,0
82,82,"[TextBlock(citations=None, text='1', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,liberal,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,1
83,83,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,4
84,84,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",liberal,2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,2,4
85,85,"[TextBlock(citations=None, text='1', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",liberal,2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,2,1
86,86,"[TextBlock(citations=None, text='5', type='text')]","Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,2,5
87,87,"[TextBlock(citations=None, text='5', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,2,5
88,88,"[TextBlock(citations=None, text='1', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,claude-3-5-haiku-20241022,0.5,2,1
89,89,"[TextBlock(citations=None, text='1', type='text')]",The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,2,1
90,90,"[TextBlock(citations=None, text='2', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,2,2
91,91,"[TextBlock(citations=None, text='1', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",liberal,3.4,purity,graham,claude-3-5-haiku-20241022,0.5,2,1
92,92,"[TextBlock(citations=None, text='1', type='text')]",Men and women each have different roles to play in society.,liberal,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,2,1
93,93,"[TextBlock(citations=None, text='1', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,claude-3-5-haiku-20241022,0.5,2,1
94,94,"[TextBlock(citations=None, text='1', type='text')]",Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,2,1
95,95,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,claude-3-5-haiku-20241022,0.5,2,2
96,96,"[TextBlock(citations=None, text='4', type='text')]","If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,claude-3-5-haiku-20241022,0.5,2,4
97,97,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,liberal,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,2,2
98,98,"[TextBlock(citations=None, text='5', type='text')]",Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,2,5
99,99,"[TextBlock(citations=None, text='4', type='text')]",The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,2,4
100,100,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,2,0
101,101,"[TextBlock(citations=None, text='4', type='text')]","In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,2,4
102,102,"[TextBlock(citations=None, text='1', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,2,1
103,103,"[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,2,0
104,104,"[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,4
105,105,"[TextBlock(citations=None, text='4', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,4
106,106,"[TextBlock(citations=None, text='4', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,4
107,107,"[TextBlock(citations=None, text='1', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,1
108,108,"[TextBlock(citations=None, text='2', type='text')]",People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,2,2
109,109,"[TextBlock(citations=None, text='5', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,2,5
110,110,"[TextBlock(citations=None, text='4', type='text')]","Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,claude-3-5-haiku-20241022,0.5,2,4
111,111,"[TextBlock(citations=None, text='4', type='text')]",The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,claude-3-5-haiku-20241022,0.5,2,4
112,112,"[TextBlock(citations=None, text='0', type='text')]","If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",liberal,4.1,fairness,inverse,claude-3-5-haiku-20241022,0.5,2,0
113,113,"[TextBlock(citations=None, text='4', type='text')]","In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,claude-3-5-haiku-20241022,0.5,2,4
114,114,"[TextBlock(citations=None, text='0', type='text')]","Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,claude-3-5-haiku-20241022,0.5,2,0
115,115,"[TextBlock(citations=None, text='1', type='text')]","When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,claude-3-5-haiku-20241022,0.5,2,1
116,116,"[TextBlock(citations=None, text='5', type='text')]",Men and women can play the same roles in society.,liberal,5.1,authority,inverse,claude-3-5-haiku-20241022,0.5,2,5
117,117,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,claude-3-5-haiku-20241022,0.5,2,4
118,118,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,claude-3-5-haiku-20241022,0.5,2,4
119,119,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,claude-3-5-haiku-20241022,0.5,2,4
120,120,"[TextBlock(citations=None, text='5', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,5
121,121,"[TextBlock(citations=None, text='4', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,4
122,122,"[TextBlock(citations=None, text='4', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,conservative,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,4
123,123,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,2,4
124,124,"[TextBlock(citations=None, text='5', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",conservative,2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,2,5
125,125,"[TextBlock(citations=None, text='4', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",conservative,2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,2,4
126,126,"[TextBlock(citations=None, text='2', type='text')]","Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,2,2
127,127,"[TextBlock(citations=None, text='2', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,2,2
128,128,"[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,claude-3-5-haiku-20241022,0.5,2,4
129,129,"[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,2,4
130,130,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,2,4
131,131,"[TextBlock(citations=None, text='4', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",conservative,3.4,purity,graham,claude-3-5-haiku-20241022,0.5,2,4
132,132,"[TextBlock(citations=None, text='4', type='text')]",Men and women each have different roles to play in society.,conservative,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,2,4
133,133,"[TextBlock(citations=None, text='5', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,claude-3-5-haiku-20241022,0.5,2,5
134,134,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,2,4
135,135,"[TextBlock(citations=None, text='5', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,claude-3-5-haiku-20241022,0.5,2,5
136,136,"[TextBlock(citations=None, text='4', type='text')]","If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,claude-3-5-haiku-20241022,0.5,2,4
137,137,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,conservative,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,2,2
138,138,"[TextBlock(citations=None, text='3', type='text')]",Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,2,3
139,139,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,2,5
140,140,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,2,0
141,141,"[TextBlock(citations=None, text='4', type='text')]","In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,2,4
142,142,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,2,4
143,143,"[TextBlock(citations=None, text='1', type='text')]",The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,2,1
144,144,"[TextBlock(citations=None, text='1', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,1
145,145,"[TextBlock(citations=None, text='1', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,1
146,146,"[TextBlock(citations=None, text='1', type='text')]",Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,1
147,147,"[TextBlock(citations=None, text='4', type='text')]",The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,claude-3-5-haiku-20241022,0.5,2,4
148,148,"[TextBlock(citations=None, text='1', type='text')]",People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,claude-3-5-haiku-20241022,0.5,2,1
149,149,"[TextBlock(citations=None, text='2', type='text')]",I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,claude-3-5-haiku-20241022,0.5,2,2
